get_params.prdctvId,get_params.url,timestamp,referer,ip,accept_language,user_agent
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/,2015-10-25T20:47:41.300Z,https://www.vivelafete.com/,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html,2015-10-25T20:47:50.020Z,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/checkout/cart/,2015-10-25T20:48:02.625Z,https://www.vivelafete.com/checkout/cart/,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html,2015-10-25T20:48:06.076Z,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/checkout/cart/,2015-10-25T20:48:15.946Z,https://www.vivelafete.com/checkout/cart/,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html#,2015-10-25T20:48:18.673Z,https://www.vivelafete.com/pilgrims-thanksgiving-smocked-bishop-1.html,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/,2015-10-25T20:48:24.345Z,https://www.vivelafete.com/,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/turkey-smocked-bishop-11.html,2015-10-25T20:48:41.846Z,https://www.vivelafete.com/turkey-smocked-bishop-11.html,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
1b33cedd-ad98-4132-83fd-4070eba8a779,https://www.vivelafete.com/girls.html,2015-10-25T20:48:44.554Z,https://www.vivelafete.com/girls.html,68.0.64.225,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13A452 Safari/601.1"
ea4b0bc0-383e-4ede-8ab4-193349405438,https://www.vivelafete.com/checkout/cart/,2015-10-25T20:48:54.098Z,https://www.vivelafete.com/checkout/cart/,97.88.176.149,en-us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/537.86.1"
